IGLV4-69	GO:0002250 GO:0006955 GO:0002377 
IGLV8-61	GO:0002250 GO:0006955 GO:0002377 
IGLV4-60	GO:0002250 GO:0002377 GO:0006955 
IGLV10-54	GO:0002250 GO:0006955 GO:0002377 
IGLV7-46	GO:0002250 GO:0002377 GO:0006955 
IGLV5-37	GO:0002250 GO:0002377 GO:0006955 
IGLV3-22	GO:0002250 GO:0002377 GO:0006955 
IGLV2-18	GO:0002250 GO:0006955 GO:0002377 
IGLV3-16	GO:0002250 GO:0006955 GO:0002377 
IGLV3-12	GO:0002250 GO:0002377 GO:0006955 
IGLV3-10	GO:0002250 GO:0002377 GO:0006955 
IGLV3-9	GO:0002250 GO:0006955 GO:0002377 
IGLV4-3	GO:0002250 GO:0006955 GO:0002377 
IGKV2-28	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0002377 GO:0006955 
IGKV2D-29	GO:0002250 GO:0006955 GO:0002377 
IGKV1D-17	GO:0002250 GO:0002377 GO:0006955 
IGKV1-27	GO:0002250 GO:0006955 GO:0002377 
IGKV2D-30	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0006955 GO:0002377 
TRAV9-1	GO:0002250 GO:0002377 GO:0006955 
TRAV18	GO:0002250 GO:0002377 GO:0006955 
PPIAL4E	GO:0000413 GO:0042026 
PPIAL4H	GO:0000413 GO:0042026 
IGLV5-45	GO:0002250 GO:0006955 GO:0002377 
IGKV3D-15	GO:0002250 GO:0006955 GO:0002377 
IGKV1D-8	GO:0002250 GO:0006955 GO:0002377 
TRAV9-2	GO:0002250 GO:0006955 GO:0002377 
KCNE1B	GO:0098915 GO:0086011 GO:0060307 GO:0097623 GO:0086005 GO:1902260 GO:0086091 
COG1	GO:0006891 GO:0006888 GO:0006891 GO:0007030 GO:0015031 
TICAM1	GO:0045087 GO:0002281 GO:0002735 GO:0002756 GO:0002756 GO:0006954 GO:0007249 GO:0007249 GO:0010508 GO:0010628 GO:0010628 GO:0016032 GO:0030890 GO:0031398 GO:0031663 GO:0032092 GO:0032755 GO:0032760 GO:0032816 GO:0034128 GO:0034128 GO:0034138 GO:0035666 GO:0035666 GO:0035666 GO:0035666 GO:0043123 GO:0043123 GO:0043123 GO:0043330 GO:0043330 GO:0043496 GO:0045080 GO:0045087 GO:0045359 GO:0045429 GO:0051092 GO:0051607 GO:0070266 GO:0070266 GO:0071222 GO:0097190 GO:0097190 GO:0140052 GO:1900017 
IGKV2-40	GO:0002250 GO:0006955 GO:0002377 
MEIKIN	GO:0007060 GO:0010789 GO:0016321 GO:0045143 GO:0051754 GO:0016321 GO:0010789 GO:0051754 GO:0007060 GO:0045143 
ARHGEF18	GO:0007264 GO:0035023 GO:0007179 GO:0007186 GO:0007264 GO:0008360 GO:0030036 GO:0035023 GO:0043065 GO:0051056 
USP50	GO:0006511 GO:0016579 GO:0006511 GO:0016579 GO:0032464 GO:0032741 GO:0050718 GO:1900227 GO:2001056 GO:0007265 GO:0070536 GO:0071108 GO:0007032 GO:0016579 
A0A087X1B8	GO:0006633 GO:2001294 GO:0006085 GO:0046321 
TMSB15B	GO:0007015 GO:0006357 GO:0007015 GO:0030335 GO:0042989 GO:0030334 GO:0042989 GO:0030334 
CYP2D7	GO:0006805 GO:0042738 GO:0006805 GO:0042738 GO:0055114 GO:0006805 GO:0042738 GO:0019369 GO:0006082 
LMTK3	GO:0006468 GO:0006468 GO:0010923 
IGKV2D-26	GO:0002250 GO:0002377 GO:0006955 
IGKV3D-11	GO:0002250 GO:0002377 GO:0006955 
IGLV5-52	GO:0002250 GO:0002377 GO:0006955 
IGKV6D-21	GO:0002250 GO:0002377 GO:0006955 
RNF213	GO:0016567 GO:0000209 GO:0001525 GO:0001525 GO:0002040 GO:0006511 GO:0016567 GO:0051260 GO:0051260 GO:0051865 GO:2000051 GO:2000051 GO:0002040 GO:0006511 
VARS2	GO:0006438 GO:0106074 GO:0006438 GO:0106074 GO:0006438 GO:0106074 GO:0006438 GO:0106074 GO:0106074 GO:0006438 
TRAV14DV4	GO:0002250 GO:0002377 GO:0006955 
TRAV19	GO:0002250 GO:0050776 GO:0050852 GO:0006955 GO:0002377 
LY6G6E	GO:0007178 GO:0002029 GO:0095500 
IGLV1-36	GO:0002250 GO:0006955 GO:0002377 
IGLV9-49	GO:0002250 GO:0006955 GO:0002377 
IGKV1D-43	GO:0002250 GO:0006955 GO:0002377 
TRAV2	GO:0002250 GO:0002377 GO:0006955 
TRAV38-1	GO:0002250 GO:0006955 GO:0002377 
TRAV40	GO:0002250 GO:0002377 GO:0006955 
PPIAL4C	GO:0000413 GO:0042026 
IGKV1D-13	GO:0002250 GO:0002377 GO:0006955 
IGKV6-21	GO:0002250 GO:0002377 GO:0006955 
IGKV3D-20	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0002377 GO:0006955 
IGKV3D-7	GO:0002250 GO:0002377 GO:0006955 
IGKV1-8	GO:0002250 GO:0002377 GO:0006955 
IGKV2-24	GO:0002250 GO:0002377 GO:0006955 
IGKV1-9	GO:0002250 GO:0002377 GO:0006955 
IGKV1-6	GO:0002250 GO:0002377 GO:0006955 
IGKV1-12	GO:0006898 GO:0006956 GO:0006958 GO:0030449 GO:0038095 GO:0038096 GO:0050776 GO:0050900 GO:0002377 GO:0006955 
MT-RNR1	GO:0032147 GO:0043610 GO:0072522 
