Gene		 Terms
NUDT4B:		 GO:0003723 GO:0008486 GO:0046872 GO:0052840 GO:0052842 
LOC100509620: GO:0015267 GO:0015204 
ZNF724:		 GO:0003676 GO:0046872 GO:0000981 GO:0003677 GO:0046872 
A0A087WUV0:	 GO:0003676 GO:0046872 
ARHGEF18:	 GO:0003676 GO:0005089 GO:0003676 GO:0005085 GO:0005089 GO:0046872 
A0A087WZV9:	 GO:0000049 GO:0051499 
A0A087X0B3:	 GO:0005506 GO:0020037 GO:0008395 GO:0008392 GO:0016712 
USP50:		 GO:0036459 GO:0019783 GO:0004843 
CYP2D7:		 GO:0005506 GO:0070330 GO:0070330 GO:0020037 GO:0016712 GO:0008395 
A0A087X1K6:	 GO:0003676 
A0A096LNG9:	 GO:0003676 
A0A096LNW5:	 GO:0005509 
CCDC187:	 GO:0008017 
A0A096LPK6:	 GO:0019899 GO:0030234 
LMTK3:		 GO:0004672 GO:0005524 GO:0003674 GO:0004674 GO:0005515 GO:0005524 GO:0046872 
RNF213:		 GO:0004842 GO:0016887 GO:0046872 GO:0004842 GO:0004842 GO:0016887 GO:0016887 GO:0016887 GO:0046872 GO:0004842 
VARS2:		 GO:0002161 GO:0004832 GO:0005524 GO:0002161 GO:0004832 GO:0005524 GO:0002161 GO:0004832 GO:0005524 GO:0002161 GO:0004832 GO:0005524 GO:0002161 GO:0005524 GO:0004832 
TRAV19:		 GO:0042287 GO:0042605 
LY6G6E:		 GO:0004675 GO:0033130 GO:0030549 
A0A0B4J293:	 GO:0004842 GO:0046872 
SIK1B:		 GO:0000287 GO:0005524 GO:0004674 
A0A0C4DFX4:	 GO:0003677 GO:0005524 GO:0042393 GO:0016887 
A0A0D9SFW1:	 GO:0046872 
A0A0D9SG24:	 GO:0003899 
ASIC5:		 GO:0005272 GO:0015252 GO:0015280 
LOC107984156: GO:0005525 
A0A0G2JMP0:	 GO:0004930 GO:0004984 
A0A0G2JMS6:	 GO:0004866 
A0A0G2JNH3:	 GO:0004930 GO:0004984 
